,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-01-20,61,RCN,0.3463,14217,3.4%,-13.5%
2018-05-02,56,RCN,0.1517,18606,3.4%,13.2%
2018-01-27,44,RCN,0.3286,14689,3.3%,-5.1%
2018-05-05,90,RCN,0.1755,18892,3.3%,12.2%
2018-01-24,151,RCN,0.3177,14502,3.3%,9.0%
2020-05-15,122,RCN,0.1009,42560,3.2%,-8.3%
2020-05-10,161,RCN,0.08805,41650,3.0%,25.4%
2018-01-21,43,RCN,0.2765,14260,3.0%,-30.4%
2018-05-06,54,RCN,0.1577,18946,3.0%,-0.2%
2018-04-26,72,RCN,0.1419,18071,2.9%,5.4%
2018-04-27,75,RCN,0.1345,18146,2.9%,-1.6%
2018-04-25,58,RCN,0.134,17999,2.9%,4.4%
2018-04-24,89,RCN,0.1574,17941,2.8%,37.2%
2019-09-25,124,RCN,0.043680000000000004,30756,2.8%,258.0%
2018-05-07,52,RCN,0.15,18998,2.8%,-2.6%
2020-05-09,241,RCN,0.09245,41489,2.8%,29.0%
2019-02-27,49,RCN,0.01877,25392,2.8%,36.0%
2020-05-16,75,RCN,0.08922999999999999,42635,2.8%,-3.5%
2018-01-22,41,RCN,0.2588,14301,2.8%,-31.2%
2018-01-31,44,RCN,0.2512,14894,2.7%,-20.9%
2018-05-08,49,RCN,0.1415,19047,2.7%,-3.7%
2019-09-26,104,RCN,0.04343,30860,2.6%,87.8%
2018-05-09,50,RCN,0.1396,19097,2.6%,-8.0%
2019-02-26,75,RCN,0.02043,25343,2.6%,68.1%
2018-04-23,80,RCN,0.1502,17852,2.6%,29.8%
2018-01-23,50,RCN,0.2861,14351,2.5%,10.4%
2020-05-17,70,RCN,0.08829,42705,2.5%,0.3%
2019-09-27,75,RCN,0.04095,30935,2.5%,80.0%
2018-02-01,49,RCN,0.2058,14943,2.5%,-35.6%
2019-02-28,71,RCN,0.025710000000000004,25463,2.5%,64.5%
2019-09-24,135,RCN,0.039439999999999996,30632,2.4%,164.0%
2018-04-22,87,RCN,0.1503,17772,2.4%,17.3%
2018-05-10,46,RCN,0.1289,19143,2.4%,-21.4%
2020-05-08,312,RCN,0.11,41248,2.4%,55.0%
2019-09-28,60,RCN,0.03537,30995,2.3%,-0.7%
2019-02-25,60,RCN,0.0246,25268,2.3%,76.9%
2018-02-02,38,RCN,0.1902,14981,2.3%,-40.2%
2018-04-20,82,RCN,0.1367,17636,2.2%,24.0%
2018-02-03,38,RCN,0.207,15019,2.2%,-37.0%
2018-04-21,49,RCN,0.1323,17685,2.2%,12.7%
2018-04-14,51,RCN,0.1174,17299,2.2%,34.2%
2019-02-24,70,RCN,0.01612,25208,2.1%,43.0%
2018-04-19,58,RCN,0.1346,17554,2.1%,23.0%
2018-04-18,46,RCN,0.1284,17496,2.1%,28.3%
2019-09-29,42,RCN,0.0326,31037,2.1%,6.3%
2018-04-13,56,RCN,0.1102,17248,2.1%,38.4%
2018-03-26,56,RCN,0.102,16567,2.0%,10.7%
2018-02-04,32,RCN,0.1694,15051,2.0%,-48.6%
2018-04-17,51,RCN,0.1147,17450,2.0%,20.9%
2019-09-23,93,RCN,0.03499,30497,2.0%,129.6%
2018-05-11,37,RCN,0.1201,19180,2.0%,-28.2%
2018-04-15,56,RCN,0.1281,17355,2.0%,23.3%
2019-09-30,56,RCN,0.0339,31093,2.0%,-3.1%
2018-04-16,44,RCN,0.1157,17399,2.0%,23.0%
2020-05-18,59,RCN,0.08495,42764,1.9%,-15.3%
2018-03-27,32,RCN,0.09452,16599,1.9%,-4.0%
2018-03-25,35,RCN,0.115,16511,1.9%,32.6%
2019-02-23,74,RCN,0.01743,25138,1.9%,60.8%
2018-04-12,54,RCN,0.1094,17192,1.9%,30.1%
2019-03-01,69,RCN,0.02104,25532,1.9%,16.6%
2018-03-24,43,RCN,0.0999,16476,1.9%,9.1%
2020-05-07,252,RCN,0.09,40936,1.8%,31.7%
2018-02-05,26,RCN,0.1362,15077,1.8%,-57.6%
2018-03-22,34,RCN,0.0964,16380,1.8%,-4.2%
2018-03-23,53,RCN,0.09891,16433,1.8%,-1.1%
2018-04-09,53,RCN,0.0941,17066,1.8%,12.4%
2019-10-30,79,RCN,0.03883,32829,1.8%,-7.0%
2018-03-29,37,RCN,0.08649,16668,1.8%,-10.3%
2018-04-10,39,RCN,0.0949,17105,1.8%,7.2%
2018-04-11,33,RCN,0.1001,17138,1.7%,16.4%
2018-03-28,32,RCN,0.1003,16631,1.7%,2.2%
2018-02-06,31,RCN,0.1585,15108,1.7%,-37.6%
2019-09-22,115,RCN,0.030660000000000003,30404,1.7%,118.4%
2019-03-02,40,RCN,0.02125,25572,1.7%,21.9%
2018-05-12,38,RCN,0.1157,19218,1.7%,-34.1%
2019-10-01,66,RCN,0.04267,31159,1.7%,8.2%
2018-03-21,58,RCN,0.0981,16346,1.7%,4.4%
2019-10-31,58,RCN,0.04044,32887,1.7%,-3.4%
2018-03-30,40,RCN,0.0805,16708,1.7%,-18.6%
2019-10-29,70,RCN,0.04332,32750,1.7%,-8.9%
2018-02-07,34,RCN,0.1542,15142,1.7%,-38.6%
2019-10-28,71,RCN,0.03689,32680,1.7%,-12.9%
2018-05-16,57,RCN,0.1162,19413,1.7%,-16.8%
2018-05-14,56,RCN,0.1311,19311,1.6%,-12.6%
2019-02-22,214,RCN,0.01805,25064,1.6%,68.8%
2018-05-17,43,RCN,0.1121,19456,1.6%,-13.0%
2018-05-13,37,RCN,0.1286,19255,1.6%,-18.5%
2019-03-03,47,RCN,0.019459999999999998,25619,1.6%,20.7%
2018-05-15,45,RCN,0.11699999999999999,19356,1.6%,-17.3%
2018-05-18,34,RCN,0.1146,19490,1.6%,-4.6%
2018-05-19,33,RCN,0.1196,19523,1.6%,3.4%
2018-04-08,85,RCN,0.1039,17013,1.6%,38.9%
2019-03-04,46,RCN,0.02,25665,1.6%,-18.7%
2019-11-01,49,RCN,0.0422,32936,1.6%,5.5%
2019-10-27,85,RCN,0.0354,32609,1.6%,-4.0%
2019-10-02,69,RCN,0.0375,31228,1.5%,-14.1%
2018-03-31,20,RCN,0.0801,16728,1.5%,-19.8%
