,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2020-05-18,1,RMESH,0.006442,280,0.0%,inf%
2020-06-23,3,RMESH,0.007295,289,0.0%,inf%
2020-03-05,1,RMESH,0.006861,268,0.0%,inf%
2020-04-10,1,RMESH,0.004744,273,0.0%,inf%
2020-07-02,1,RMESH,0.006795000000000001,290,0.0%,inf%
2020-05-12,1,RMESH,0.005697,279,0.0%,inf%
2020-08-02,1,RMESH,0.01116,301,0.0%,inf%
2020-07-07,2,RMESH,0.007181,293,0.0%,inf%
2019-06-26,13,RMESH,0.01669,153,0.0%,inf%
2019-06-21,1,RMESH,0.02797,110,0.0%,inf%
2019-09-20,2,RMESH,0.004802000000000001,221,0.0%,inf%
2019-11-20,1,RMESH,0.00524,244,0.0%,inf%
2019-12-30,2,RMESH,0.003942,254,0.0%,inf%
2019-12-28,1,RMESH,0.003846,252,0.0%,inf%
2019-12-27,1,RMESH,0.003795,251,0.0%,inf%
2019-12-26,1,RMESH,0.0037719999999999997,250,0.0%,inf%
2019-12-25,1,RMESH,0.0037530000000000003,249,0.0%,inf%
2019-12-09,1,RMESH,0.00443,248,0.0%,inf%
2019-12-06,2,RMESH,0.004472,247,0.0%,inf%
2019-11-22,1,RMESH,0.004507,245,0.0%,inf%
2019-11-17,1,RMESH,0.00686,243,0.0%,inf%
2019-06-18,3,RMESH,0.057929999999999995,107,0.0%,inf%
2019-11-12,1,RMESH,0.005843,242,0.0%,inf%
2019-11-07,2,RMESH,0.005826,241,0.0%,inf%
2019-10-30,1,RMESH,0.005731,239,0.0%,inf%
2019-10-13,1,RMESH,0.004308,238,0.0%,inf%
2019-10-03,13,RMESH,0.0041600000000000005,237,0.0%,inf%
2019-09-24,1,RMESH,0.004661,224,0.0%,inf%
2019-09-23,1,RMESH,0.0044210000000000005,223,0.0%,inf%
2019-09-22,1,RMESH,0.004647,222,0.0%,inf%
2020-01-08,1,RMESH,0.004220000000000001,256,0.0%,inf%
2020-01-13,1,RMESH,0.004311,257,0.0%,inf%
2020-02-01,1,RMESH,0.00551,258,0.0%,inf%
2019-08-28,2,RMESH,0.008829,205,0.0%,inf%
2019-06-02,4,RMESH,0.026869999999999998,88,0.0%,inf%
2019-06-01,2,RMESH,0.026410000000000003,84,0.0%,inf%
2019-05-24,4,RMESH,0.03694,72,0.0%,inf%
2019-05-20,2,RMESH,0.037989999999999996,61,0.0%,inf%
2019-05-16,2,RMESH,0.03986,55,0.0%,inf%
2019-05-08,2,RMESH,0.02588,46,0.0%,inf%
2019-05-05,2,RMESH,0.02475,43,0.0%,inf%
2019-04-30,3,RMESH,0.02975,35,0.0%,inf%
2019-04-22,3,RMESH,0.034210000000000004,18,0.0%,inf%
2019-04-21,1,RMESH,0.033889999999999997,15,0.0%,inf%
2019-04-20,1,RMESH,0.03462,14,0.0%,inf%
2019-04-16,1,RMESH,0.02854,8,0.0%,inf%
2019-04-12,3,RMESH,0.03657,7,0.0%,inf%
2019-04-11,3,RMESH,0.036719999999999996,4,0.0%,inf%
2019-08-07,2,RMESH,0.02238,197,0.0%,inf%
2020-02-07,1,RMESH,0.006693999999999999,261,0.0%,inf%
2019-08-16,3,RMESH,0.009461,202,0.0%,inf%
