,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-11-24,25,AID,0.02278,2635,6.1%,-45.8%
2018-04-17,10,AID,0.18,574,6.1%,13.0%
2018-05-02,6,AID,0.1727,650,6.0%,1.6%
2018-04-09,7,AID,0.1554,535,5.9%,1.2%
2018-04-01,3,AID,0.1427,500,5.9%,-23.3%
2018-11-28,13,AID,0.02314,2698,5.9%,-14.3%
2018-04-24,6,AID,0.20800000000000002,608,5.9%,15.6%
2018-05-01,4,AID,0.1682,644,5.9%,-19.1%
2018-03-27,3,AID,0.177,485,5.9%,-18.2%
2018-11-16,2,AID,0.04598,2482,5.9%,-21.0%
2018-12-14,29,AID,0.02447,3032,5.9%,-5.9%
2018-04-29,3,AID,0.18,633,5.9%,-8.1%
2018-04-28,4,AID,0.1788,630,5.7%,-3.4%
2018-12-18,18,AID,0.02501,3086,5.7%,23.5%
2018-04-08,6,AID,0.168,528,5.6%,17.7%
2018-12-15,14,AID,0.02266,3046,5.6%,-5.4%
2018-05-29,6,AID,0.1611,1274,5.6%,-13.7%
2018-10-24,7,AID,0.0538,1758,5.5%,8.5%
2018-05-11,5,AID,0.1321,709,5.5%,-21.4%
2018-04-15,3,AID,0.1914,557,5.5%,13.9%
2018-05-28,4,AID,0.1601,1268,5.5%,-25.5%
2018-10-23,14,AID,0.05,1751,5.5%,4.0%
2018-04-16,7,AID,0.1917,564,5.4%,23.4%
2018-03-28,3,AID,0.1692,488,5.4%,-10.9%
2018-12-17,17,AID,0.025,3068,5.4%,21.8%
2018-03-25,1,AID,0.18600000000000003,472,5.4%,-1.0%
2018-03-29,5,AID,0.147,493,5.3%,-21.3%
2018-11-29,24,AID,0.02001,2722,5.3%,-22.7%
2018-12-16,5,AID,0.02453,3051,5.3%,4.4%
2018-03-30,3,AID,0.1392,496,5.3%,-25.8%
2018-12-13,48,AID,0.02238,3003,5.3%,-37.3%
2018-04-27,5,AID,0.1778,626,5.2%,-9.7%
2018-12-12,35,AID,0.02839,2955,5.2%,48.3%
2018-11-19,8,AID,0.03203,2492,5.2%,-42.7%
2018-11-23,26,AID,0.0268,2610,5.2%,-41.7%
2018-05-12,5,AID,0.128,714,5.2%,-23.9%
2018-04-25,5,AID,0.17,613,5.1%,-7.0%
2018-05-30,6,AID,0.163,1280,5.1%,-2.5%
2018-11-30,20,AID,0.02001,2742,5.1%,-25.3%
2018-04-07,4,AID,0.1606,522,5.0%,16.3%
2018-11-17,1,AID,0.042,2483,4.9%,-22.5%
2018-10-22,15,AID,0.04381,1737,4.9%,-12.1%
2018-12-08,21,AID,0.02395,2885,4.8%,14.0%
2018-12-06,44,AID,0.035710000000000006,2853,4.8%,78.5%
2018-04-02,5,AID,0.1535,505,4.8%,-16.6%
2018-04-03,3,AID,0.166,508,4.7%,-6.2%
2018-12-19,9,AID,0.023540000000000002,3095,4.7%,-17.1%
2018-12-09,12,AID,0.0235,2897,4.7%,-11.2%
2018-04-26,8,AID,0.1784,621,4.7%,-5.1%
2018-04-04,3,AID,0.16,511,4.7%,-5.4%
2018-12-10,14,AID,0.02053,2911,4.7%,-6.8%
2018-06-26,5,AID,0.1,1412,4.7%,-10.8%
2018-12-11,9,AID,0.02025,2920,4.5%,-11.9%
2018-06-25,3,AID,0.1002,1407,4.5%,-12.5%
2018-12-07,11,AID,0.026000000000000002,2864,4.4%,29.9%
2018-12-01,10,AID,0.021,2752,4.4%,-7.8%
2018-04-06,6,AID,0.1562,518,4.4%,12.2%
2018-05-16,12,AID,0.1134,733,4.4%,-25.8%
2018-06-27,1,AID,0.1,1413,4.4%,-17.1%
2018-06-24,9,AID,0.1051,1404,4.3%,-7.7%
2018-05-31,7,AID,0.1751,1287,4.3%,-0.5%
2018-10-21,14,AID,0.04975,1722,4.2%,-2.8%
2018-11-22,37,AID,0.02588,2584,4.2%,-39.8%
2018-11-20,20,AID,0.025169999999999998,2512,4.2%,-55.1%
2018-06-28,1,AID,0.1,1414,4.1%,-9.2%
2018-06-29,1,AID,0.1,1415,4.1%,2.7%
2018-12-05,16,AID,0.01915,2809,4.1%,-17.2%
2018-06-01,4,AID,0.1676,1291,4.0%,1.1%
2018-12-04,12,AID,0.02298,2793,4.0%,-20.7%
2018-12-02,14,AID,0.02647,2766,4.0%,46.2%
2018-06-23,36,AID,0.1221,1395,3.9%,6.2%
2018-12-03,15,AID,0.02203,2781,3.9%,-4.8%
2018-04-05,1,AID,0.1616,512,3.9%,9.9%
2019-01-27,7,AID,0.032,3551,3.8%,28.0%
2019-01-26,9,AID,0.028999999999999998,3544,3.8%,16.0%
